ip,malicious,suspicious
52.113.194.132,0,0
224.0.0.251,0,0
142.250.113.100,0,0
23.212.64.79,0,0
135.148.100.14,0,0
52.158.246.138,0,0
20.189.173.8,0,0
13.107.246.57,0,0
151.101.1.181,0,0
5.252.153.241,14,0
3.82.67.153,0,0
23.207.164.186,0,0
23.220.103.8,0,0
217.20.51.20,0,0
35.71.139.29,0,0
142.250.114.100,0,0
199.232.214.172,0,0
23.205.110.155,0,0
208.89.12.91,0,0
40.119.6.228,1,0
20.189.173.18,0,0
150.171.27.10,0,0
23.205.110.134,0,0
35.84.233.181,0,0
169.254.255.255,0,0
142.251.186.106,0,0
52.167.164.84,0,0
104.18.8.76,0,0
23.205.110.146,0,0
129.6.15.28,1,0
23.212.64.35,0,0
23.55.125.39,0,0
208.89.12.153,0,0
52.109.0.91,0,0
20.125.209.212,0,0
23.219.160.172,0,0
13.107.42.16,0,0
45.125.66.32,4,1
10.1.17.2,0,0
173.71.68.71,0,0
104.21.64.1,8,1
23.55.124.236,0,0
204.79.197.203,1,0
239.255.255.250,1,0
213.239.239.164,0,0
62.149.0.30,1,0
217.70.186.109,0,0
169.254.168.209,0,0
10.1.17.215,0,0
20.190.157.15,0,0
255.255.255.255,1,0
40.126.28.12,0,0
82.221.136.26,6,5
208.89.12.87,0,0
169.229.128.134,0,0
20.44.239.154,0,0
20.241.44.114,0,0
23.212.73.35,0,0
4.153.72.49,0,0
20.96.153.111,0,0
0.0.0.0,1,0
142.250.115.101,0,0
142.250.113.113,0,0
23.205.110.133,0,0
20.189.173.11,1,0
34.120.154.120,0,0
52.143.124.236,0,0
52.175.242.182,0,0
40.126.29.10,0,0
142.250.115.139,0,0
142.251.116.155,0,0
20.190.157.11,0,0
20.10.31.115,1,0
192.132.33.69,0,0
23.205.110.151,0,0
23.221.220.40,0,0
193.171.23.163,0,0
4.150.155.223,0,0
52.32.135.66,0,0
20.42.73.27,0,0
40.126.29.9,0,0
204.79.197.237,0,0
142.251.186.132,0,0
23.45.119.141,0,0
40.126.28.18,0,0
51.104.15.252,0,0
52.137.125.63,0,0
157.240.24.35,0,0
23.41.240.115,0,0
13.71.55.58,0,0
23.55.125.176,0,0
20.190.135.3,0,0
13.107.42.14,0,0
23.207.166.9,0,0
45.125.66.252,2,1
52.152.180.158,0,0
142.250.114.102,0,0
23.55.125.163,0,0
52.156.123.84,0,0
23.96.180.189,1,0
185.188.32.26,0,0
23.205.110.137,0,0
23.205.110.145,0,0
52.229.52.30,0,0
40.126.28.11,0,0
10.1.17.255,0,0
20.190.135.16,0,0
23.205.249.136,0,0
52.178.17.235,0,0
23.205.110.12,0,0
52.109.20.38,0,0
23.220.103.11,0,0
224.0.0.252,1,0
13.89.179.11,0,0
23.212.66.174,0,0
69.147.65.251,0,0
23.45.119.143,0,0
23.220.102.9,0,0
162.159.200.1,0,0
23.53.127.170,0,0
13.107.21.239,0,0
23.205.110.148,0,0
23.205.110.136,0,0
23.205.110.59,0,0
23.205.110.143,0,0
133.243.238.243,0,0
20.189.173.16,0,0
142.250.115.132,0,0
44.237.90.153,0,0
204.79.197.239,0,0
142.202.190.19,2,0
23.40.146.4,0,0
23.41.241.15,0,0
23.205.110.142,0,0
20.190.157.3,0,0
52.191.219.104,0,0
17.253.26.251,0,0
20.190.157.13,0,0
194.58.203.20,0,1
94.198.159.14,0,0
23.199.168.146,0,0
52.109.20.47,0,0
129.250.35.250,0,0
20.125.63.4,0,0
52.109.0.142,0,0
