Address,Packets,Bytes,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"0.0.0.0","2","734 bytes","2","734 bytes","0","0 bytes","","","","","",""
"3.82.67.153","26","7 kB","15","4 kB","11","3 kB","","","","","",""
"4.150.155.223","26","11 kB","13","8 kB","13","3 kB","","","","","",""
"4.153.72.49","33","13 kB","16","7 kB","17","6 kB","","","","","",""
"5.252.153.241","9,076","7 MB","5,601","7 MB","3,475","235 kB","","","","","",""
"10.1.17.2","4,361","1 MB","2,014","532 kB","2,347","530 kB","","","","","",""
"10.1.17.215","39,045","26 MB","16,032","3 MB","23,013","23 MB","","","","","",""
"10.1.17.255","139","27 kB","0","0 bytes","139","27 kB","","","","","",""
"13.71.55.58","22","7 kB","10","5 kB","12","2 kB","","","","","",""
"13.89.179.11","28","8 kB","13","5 kB","15","3 kB","","","","","",""
"13.107.21.239","248","102 kB","128","59 kB","120","42 kB","","","","","",""
"13.107.42.14","31","10 kB","17","7 kB","14","4 kB","","","","","",""
"13.107.42.16","190","74 kB","104","51 kB","86","23 kB","","","","","",""
"13.107.246.57","395","161 kB","208","117 kB","187","43 kB","","","","","",""
"17.253.26.251","2","180 bytes","1","90 bytes","1","90 bytes","","","","","",""
"20.10.31.115","92","22 kB","44","14 kB","48","8 kB","","","","","",""
"20.42.73.27","83","28 kB","39","16 kB","44","12 kB","","","","","",""
"20.44.239.154","72","21 kB","33","15 kB","39","6 kB","","","","","",""
"20.96.153.111","29","9 kB","11","6 kB","18","3 kB","","","","","",""
"20.125.63.4","27","9 kB","13","8 kB","14","2 kB","","","","","",""
"20.125.209.212","62","26 kB","31","16 kB","31","9 kB","","","","","",""
"20.189.173.8","92","41 kB","39","12 kB","53","29 kB","","","","","",""
"20.189.173.11","167","113 kB","68","19 kB","99","94 kB","","","","","",""
"20.189.173.16","23","10 kB","10","8 kB","13","2 kB","","","","","",""
"20.189.173.18","63","25 kB","29","11 kB","34","14 kB","","","","","",""
"20.190.135.3","49","15 kB","19","11 kB","30","4 kB","","","","","",""
"20.190.135.16","45","15 kB","18","11 kB","27","4 kB","","","","","",""
"20.190.157.3","25","8 kB","10","6 kB","15","2 kB","","","","","",""
"20.190.157.11","23","8 kB","9","6 kB","14","2 kB","","","","","",""
"20.190.157.13","23","8 kB","9","6 kB","14","2 kB","","","","","",""
"20.190.157.15","48","15 kB","19","11 kB","29","4 kB","","","","","",""
"20.241.44.114","66","23 kB","29","18 kB","37","5 kB","","","","","",""
"23.40.146.4","44","19 kB","22","17 kB","22","3 kB","","","","","",""
"23.41.240.115","39","19 kB","20","16 kB","19","2 kB","","","","","",""
"23.41.241.15","118","103 kB","76","100 kB","42","4 kB","","","","","",""
"23.45.119.141","83","33 kB","45","23 kB","38","9 kB","","","","","",""
"23.45.119.143","109","66 kB","55","62 kB","54","5 kB","","","","","",""
"23.53.127.170","40","29 kB","23","27 kB","17","2 kB","","","","","",""
"23.55.124.236","83","16 kB","46","10 kB","37","6 kB","","","","","",""
"23.55.125.39","24","9 kB","10","7 kB","14","2 kB","","","","","",""
"23.55.125.163","116","64 kB","67","55 kB","49","9 kB","","","","","",""
